,index,Pstring,type,Z,X,Znum,Xnum,zindex,xindex
0,0,IIIIIIIIIIII,0,IIIIIIIIIIII,,0,0,0,0
1,1,IIIIIIIIIIIZ,0,IIIIIIIIIIIZ,,1,0,1,0
2,2,IIIIIIIIIIZI,0,IIIIIIIIIIZI,,2,0,2,0
3,3,IIIIIIIIIIZZ,0,IIIIIIIIIIZZ,,3,0,3,0
4,4,IIIIIIIIIZII,0,IIIIIIIIIZII,,4,0,4,0
5,5,IIIIIIIIIZIZ,0,IIIIIIIIIZIZ,,5,0,5,0
6,6,IIIIIIIIIZZI,0,IIIIIIIIIZZI,,6,0,6,0
7,7,IIIIIIIIZIII,0,IIIIIIIIZIII,,8,0,7,0
8,8,IIIIIIIIZIIZ,0,IIIIIIIIZIIZ,,9,0,8,0
9,9,IIIIIIIIZIZI,0,IIIIIIIIZIZI,,10,0,9,0
10,10,IIIIIIIIZZII,0,IIIIIIIIZZII,,12,0,10,0
11,11,IIIIIIIZIIII,0,IIIIIIIZIIII,,16,0,11,0
12,12,IIIIIIIZIIIZ,0,IIIIIIIZIIIZ,,17,0,12,0
13,13,IIIIIIIZIIZI,0,IIIIIIIZIIZI,,18,0,13,0
14,14,IIIIIIIZIZII,0,IIIIIIIZIZII,,20,0,14,0
15,15,IIIIIIIZZIII,0,IIIIIIIZZIII,,24,0,15,0
16,16,IIIIIIZIIIII,0,IIIIIIZIIIII,,32,0,16,0
17,17,IIIIIIZIIIIZ,0,IIIIIIZIIIIZ,,33,0,17,0
18,18,IIIIIIZIIIZI,0,IIIIIIZIIIZI,,34,0,18,0
19,19,IIIIIIZIIZII,0,IIIIIIZIIZII,,36,0,19,0
20,20,IIIIIIZIZIII,0,IIIIIIZIZIII,,40,0,20,0
21,21,IIIIIIZZIIII,0,IIIIIIZZIIII,,48,0,21,0
22,22,IIIIIZIIIIII,0,IIIIIZIIIIII,,64,0,22,0
23,23,IIIIIZIIIIIZ,0,IIIIIZIIIIIZ,,65,0,23,0
24,24,IIIIIZIIIIZI,0,IIIIIZIIIIZI,,66,0,24,0
25,25,IIIIIZIIIZII,0,IIIIIZIIIZII,,68,0,25,0
26,26,IIIIIZIIZIII,0,IIIIIZIIZIII,,72,0,26,0
27,27,IIIIIZIZIIII,0,IIIIIZIZIIII,,80,0,27,0
28,28,IIIIIZZIIIII,0,IIIIIZZIIIII,,96,0,28,0
29,29,IIIIZIIIIIII,0,IIIIZIIIIIII,,128,0,29,0
30,30,IIIIZIIIIIIZ,0,IIIIZIIIIIIZ,,129,0,30,0
31,31,IIIIZIIIIIZI,0,IIIIZIIIIIZI,,130,0,31,0
32,32,IIIIZIIIIZII,0,IIIIZIIIIZII,,132,0,32,0
33,33,IIIIZIIIZIII,0,IIIIZIIIZIII,,136,0,33,0
34,34,IIIIZIIZIIII,0,IIIIZIIZIIII,,144,0,34,0
35,35,IIIIZIZIIIII,0,IIIIZIZIIIII,,160,0,35,0
36,36,IIIIZZIIIIII,0,IIIIZZIIIIII,,192,0,36,0
37,37,IIIZIIIIIIII,0,IIIZIIIIIIII,,256,0,37,0
38,38,IIIZIIIIIIIZ,0,IIIZIIIIIIIZ,,257,0,38,0
39,39,IIIZIIIIIIZI,0,IIIZIIIIIIZI,,258,0,39,0
40,40,IIIZIIIIIZII,0,IIIZIIIIIZII,,260,0,40,0
41,41,IIIZIIIIZIII,0,IIIZIIIIZIII,,264,0,41,0
42,42,IIIZIIIZIIII,0,IIIZIIIZIIII,,272,0,42,0
43,43,IIIZIIZIIIII,0,IIIZIIZIIIII,,288,0,43,0
44,44,IIIZIZIIIIII,0,IIIZIZIIIIII,,320,0,44,0
45,45,IIIZZIIIIIII,0,IIIZZIIIIIII,,384,0,45,0
46,46,IIZIIIIIIIII,0,IIZIIIIIIIII,,512,0,46,0
47,47,IIZIIIIIIIIZ,0,IIZIIIIIIIIZ,,513,0,47,0
48,48,IIZIIIIIIIZI,0,IIZIIIIIIIZI,,514,0,48,0
49,49,IIZIIIIIIZII,0,IIZIIIIIIZII,,516,0,49,0
50,50,IIZIIIIIZIII,0,IIZIIIIIZIII,,520,0,50,0
51,51,IIZIIIIZIIII,0,IIZIIIIZIIII,,528,0,51,0
52,52,IIZIIIZIIIII,0,IIZIIIZIIIII,,544,0,52,0
53,53,IIZIIZIIIIII,0,IIZIIZIIIIII,,576,0,53,0
54,54,IIZIZIIIIIII,0,IIZIZIIIIIII,,640,0,54,0
55,55,IIZZIIIIIIII,0,IIZZIIIIIIII,,768,0,55,0
56,56,IZIIIIIIIIII,0,IZIIIIIIIIII,,1024,0,56,0
57,57,IZIIIIIIIIIZ,0,IZIIIIIIIIIZ,,1025,0,57,0
58,58,IZIIIIIIIIZI,0,IZIIIIIIIIZI,,1026,0,58,0
59,59,IZIIIIIIIZII,0,IZIIIIIIIZII,,1028,0,59,0
60,60,IZIIIIIIZIII,0,IZIIIIIIZIII,,1032,0,60,0
61,61,IZIIIIIZIIII,0,IZIIIIIZIIII,,1040,0,61,0
62,62,IZIIIIZIIIII,0,IZIIIIZIIIII,,1056,0,62,0
63,63,IZIIIZIIIIII,0,IZIIIZIIIIII,,1088,0,63,0
64,64,IZIIZIIIIIII,0,IZIIZIIIIIII,,1152,0,64,0
65,65,IZIZIIIIIIII,0,IZIZIIIIIIII,,1280,0,65,0
66,66,IZZIIIIIIIII,0,IZZIIIIIIIII,,1536,0,66,0
67,67,ZIIIIIIIIIII,0,ZIIIIIIIIIII,,2048,0,67,0
68,68,ZIIIIIIIIIIZ,0,ZIIIIIIIIIIZ,,2049,0,68,0
69,69,ZIIIIIIIIIZI,0,ZIIIIIIIIIZI,,2050,0,69,0
70,70,ZIIIIIIIIZII,0,ZIIIIIIIIZII,,2052,0,70,0
71,71,ZIIIIIIIZIII,0,ZIIIIIIIZIII,,2056,0,71,0
72,72,ZIIIIIIZIIII,0,ZIIIIIIZIIII,,2064,0,72,0
73,73,ZIIIIIZIIIII,0,ZIIIIIZIIIII,,2080,0,73,0
74,74,ZIIIIZIIIIII,0,ZIIIIZIIIIII,,2112,0,74,0
75,75,ZIIIZIIIIIII,0,ZIIIZIIIIIII,,2176,0,75,0
76,76,ZIIZIIIIIIII,0,ZIIZIIIIIIII,,2304,0,76,0
77,77,ZIZIIIIIIIII,0,ZIZIIIIIIIII,,2560,0,77,0
78,78,ZZIIIIIIIIII,0,ZZIIIIIIIIII,,3072,0,78,0
79,79,IIIIIIIIIXIX,1,,IIIIIIIIIXIX,0,5,0,1
80,101,IIIIIIIIXIXI,1,,IIIIIIIIXIXI,0,10,0,2
81,123,IIIIIIXXIXXI,1,,IIIIIIXXIXXI,0,54,0,3
82,127,IIIIXXIIIXXI,1,,IIIIXXIIIXXI,0,198,0,4
83,131,IIXXIIIIIXXI,1,,IIXXIIIIIXXI,0,774,0,5
84,135,IXIXIIIIIIII,1,,IXIXIIIIIIII,0,1280,0,6
85,157,IXXIIIIIIIXX,1,,IXXIIIIIIIXX,0,1539,0,7
86,161,IXXIIIIIXXII,1,,IXXIIIIIXXII,0,1548,0,8
87,165,IXXIIIXXIIII,1,,IXXIIIXXIIII,0,1584,0,9
88,169,IXXIXXIIIIII,1,,IXXIXXIIIIII,0,1728,0,10
89,173,XIXIIIIIIIII,1,,XIXIIIIIIIII,0,2560,0,11
90,195,XXIIIIIIIXXI,1,,XXIIIIIIIXXI,0,3078,0,12
91,80,IIIIIIIIIXZX,2,IIIIIIIIIIZI,IIIIIIIIIXIX,2,5,2,1
92,199,IIIIIIIIXXYY,2,IIIIIIIIIIZZ,IIIIIIIIXXXX,3,15,3,13
93,203,IIIIIIXXIIYY,2,IIIIIIIIIIZZ,IIIIIIXXIIXX,3,51,3,14
94,207,IIIIXXIIIIYY,2,IIIIIIIIIIZZ,IIIIXXIIIIXX,3,195,3,15
95,211,IIXXIIIIIIYY,2,IIIIIIIIIIZZ,IIXXIIIIIIXX,3,771,3,16
